employeeGroupId,employeeGroupName,employeeGroupDescription,createdTimestampUtc,isActive,isDeleted,companyId,createdByUserId,canAccessEquipment,canAccessOtherEmployees,canAccessDailyJobNotes,canAccessOtherEmployeeDetails,canAccessJobInformation,employeeGroupColor,uuid
983,Management,NULL,"2026-07-16 18:00:20",1,0,265,45,1,1,1,1,1,#f8f9fa,35326165-6264-6265-2d34-3362622d3436
984,Superintendent,NULL,"2026-07-16 18:00:20",1,0,265,45,1,1,1,1,1,#f8f9fa,30376133-3630-3632-2d61-6465342d3463
985,Supervision,NULL,"2026-07-16 18:00:20",1,0,265,45,1,1,1,1,1,#f8f9fa,65616330-3035-3862-2d35-3066302d3435
986,Professional,NULL,"2026-07-16 18:00:20",1,0,265,45,1,1,1,1,1,#f8f9fa,30643037-3565-6438-2d36-3639622d3431
987,Administrative,NULL,"2026-07-16 18:00:20",1,0,265,45,1,1,1,1,1,#f8f9fa,38306636-6237-6664-2d37-6134662d3438
988,Administrative/Professional,NULL,"2026-07-16 18:00:20",1,0,265,45,1,1,1,1,1,#f8f9fa,36383831-6566-6438-2d65-3061362d3437
989,"Skilled Craft",NULL,"2026-07-16 18:00:20",1,0,265,45,1,1,1,1,1,#f8f9fa,35383930-3665-6163-2d33-3230662d3432
990,Technician,NULL,"2026-07-16 18:00:20",1,0,265,45,1,1,1,1,1,#f8f9fa,62613237-3965-6133-2d32-6665662d3464
991,"Sales Workers",NULL,"2026-07-16 18:00:20",1,0,265,45,1,1,1,1,1,#f8f9fa,34386531-3862-3965-2d66-6430662d3437
992,Clerical,NULL,"2026-07-16 18:00:20",1,0,265,45,1,1,1,1,1,#f8f9fa,66306536-3763-3938-2d38-6265312d3465
993,"Craft Misc Type",NULL,"2026-07-16 18:00:20",1,0,265,45,1,1,1,1,1,#f8f9fa,61663066-3333-3738-2d61-3434392d3461
994,Ironworker,NULL,"2026-07-16 18:00:20",1,0,265,45,1,1,1,1,1,#f8f9fa,66653033-6661-3030-2d66-3464302d3433
995,Carpenter,NULL,"2026-07-16 18:00:20",1,0,265,45,1,1,1,1,1,#f8f9fa,62646566-3630-3830-2d33-6239322d3436
996,"Cement Finisher",NULL,"2026-07-16 18:00:20",1,0,265,45,1,1,1,1,1,#f8f9fa,33666462-6662-6631-2d36-3861342d3434
997,"Operating Engineer",NULL,"2026-07-16 18:00:20",1,0,265,45,1,1,1,1,1,#f8f9fa,31383830-6536-3161-2d34-6665322d3463
998,Mechanic,NULL,"2026-07-16 18:00:20",1,0,265,45,1,1,1,1,1,#f8f9fa,32303966-6438-3064-2d63-3231302d3437
999,Welder,NULL,"2026-07-16 18:00:20",1,0,265,45,1,1,1,1,1,#f8f9fa,31616135-6336-6534-2d39-3335322d3439
1000,"Ironworker Foreman",NULL,"2026-07-16 18:00:20",1,0,265,45,1,1,1,1,1,#f8f9fa,39346562-3438-3965-2d63-6233662d3435
1001,"Capenter Foreman",NULL,"2026-07-16 18:00:20",1,0,265,45,1,1,1,1,1,#f8f9fa,61646532-3635-3465-2d32-3963632d3436
1002,"Cement Finisher Foreman",NULL,"2026-07-16 18:00:20",1,0,265,45,1,1,1,1,1,#f8f9fa,39376632-3939-3438-2d33-3964382d3461
1003,"Operating Engineer Foreman",,"2026-07-16 18:00:20",1,0,265,45,1,1,1,1,1,#f8f9fa,35663336-6363-3735-2d30-3062622d3464
1004,"Mechanic Foreman",NULL,"2026-07-16 18:00:20",1,0,265,45,1,1,1,1,1,#f8f9fa,39636132-3434-3363-2d37-3662392d3465
1005,"Welder Foreman",NULL,"2026-07-16 18:00:20",1,0,265,45,1,1,1,1,1,#f8f9fa,66663465-3663-6531-2d30-3130352d3436
1006,"Operative Misc Type",NULL,"2026-07-16 18:00:20",1,0,265,45,1,1,1,1,1,#f8f9fa,37623038-6563-6631-2d63-6261342d3438
1007,"Ironworker Apprentice",NULL,"2026-07-16 18:00:20",1,0,265,45,1,1,1,1,1,#f8f9fa,62663938-3436-3963-2d38-3035362d3435
1008,"Carpenter Apprentice",NULL,"2026-07-16 18:00:21",1,0,265,45,1,1,1,1,1,#f8f9fa,30303831-3538-6338-2d62-3937312d3466
1009,"Cement Finisher Apprentice",NULL,"2026-07-16 18:00:21",1,0,265,45,1,1,1,1,1,#f8f9fa,30343162-3936-6163-2d35-6637392d3438
1010,"Operating Engineer Apprentice",NULL,"2026-07-16 18:00:21",1,0,265,45,1,1,1,1,1,#f8f9fa,31376338-6634-3836-2d30-3935342d3461
1011,"Mechanic Apprentice",NULL,"2026-07-16 18:00:21",1,0,265,45,1,1,1,1,1,#f8f9fa,32336563-6238-6166-2d63-3236372d3435
1012,"Welder Apprentice",NULL,"2026-07-16 18:00:21",1,0,265,45,1,1,1,1,1,#f8f9fa,33393430-3934-3663-2d66-6137382d3433
1013,Laborer,NULL,"2026-07-16 18:00:21",1,0,265,45,1,1,1,1,1,#f8f9fa,65343064-3834-3566-2d33-6530652d3432
1014,"Laborer Apprentice",NULL,"2026-07-16 18:00:21",1,0,265,45,1,1,1,1,1,#f8f9fa,64313030-6264-3462-2d65-3036372d3466
1015,"Laborer Foreman",NULL,"2026-07-16 18:00:21",1,0,265,45,1,1,1,1,1,#f8f9fa,66343962-3566-6334-2d31-6339342d3432
1016,"Service Worker",NULL,"2026-07-16 18:00:21",1,0,265,45,1,1,1,1,1,#f8f9fa,37326663-3566-3539-2d39-6636392d3463
