field,type,nullable,required,write_only,format,max_length,description,ownership,mapping_behavior,reference_object,default_value,observed_fill_pct,observed_distinct,observed_classification,status,notes
uuid,string,no,yes,no,uuid,,,confirm,unknown,,,100.0%,83,,confirm,not established by supplied schema or observations
subStatusId,integer,no,yes,no,,,,confirm,unknown,,,100.0%,83,,confirm,not established by supplied schema or observations
subStatusName,string,no,yes,no,,,,confirm,unknown,,,100.0%,81,,confirm,not established by supplied schema or observations
companyId,integer,yes,no,no,,,,confirm,unknown,,,100.0%,1,,confirm,not established by supplied schema or observations
isDeleted,boolean,yes,no,no,,,,confirm,unknown,,,100.0%,2,,confirm,not established by supplied schema or observations
deletedByUserId,integer,yes,no,no,,,,confirm,unknown,,,100.0%,2,,confirm,not established by supplied schema or observations
deletedTimestampUtc,string,yes,no,no,,,,confirm,unknown,,,100.0%,3,,confirm,not established by supplied schema or observations
