workOrderAssignmentId,workOrderId,assignedToUserId,createdTimestampUtc,createdByUserId,isDeleted,deletedByUserId,deletedTimestampUtc,uuid
44620,99604,15444,"2026-08-17 16:26:50",16222,0,NULL,NULL,7df89c3d-1b6c-4ebe-8749-58859446a92c
44759,99872,15481,"2026-08-18 16:48:47",15481,0,NULL,NULL,84b65831-a0f5-46a6-ab8a-e187e9cb8a48
43987,96563,15493,"2026-08-11 12:18:43",16382,1,16382,"2026-08-11 12:20:23",cb524dc3-d8dd-445c-9b7b-beeefe1c2eb5
43989,96563,15668,"2026-08-11 12:19:48",16382,1,16382,"2026-08-11 12:20:17",63a1882f-3bf6-467a-b0a1-ac713e84c8f6
44452,96563,15376,"2026-08-14 18:59:20",16222,1,16222,"2026-08-14 18:59:28",0bbff44f-ab52-4ede-a0c5-f26703ba631b
44453,96563,15513,"2026-08-14 18:59:20",16222,1,16222,"2026-08-15 13:16:40",69493ebf-1dd4-44b9-ac64-21dade8df792
44475,96563,15709,"2026-08-15 13:16:47",16222,0,NULL,NULL,eb52fc83-964a-4d58-ac12-f7d2e036c211
43625,98373,15376,"2026-08-06 15:52:35",16222,0,NULL,NULL,5d7ab6d2-d2f5-4b39-a5e8-d0dccefefa3a
43626,98373,15513,"2026-08-06 15:52:35",16222,1,16222,"2026-08-06 15:52:41",91c6fd06-3381-4ebd-934f-c0d7a6055ab9
43627,98373,16171,"2026-08-06 15:52:35",16222,0,NULL,NULL,a682ef30-c64d-4d10-95cf-f483f9c57bcf
43998,98567,15692,"2026-08-11 13:12:19",16222,0,NULL,NULL,b7d9957d-6ea0-4721-a42e-ba6cb5bf7992
44688,99739,15668,"2026-08-17 21:44:03",16222,0,NULL,NULL,4acad010-55d3-42a3-9cf9-ab67631c5cdd
44594,99570,15814,"2026-08-17 15:15:57",16222,0,NULL,NULL,20130589-f2da-463e-adc7-14e8aa9d7e23
44023,98878,15692,"2026-08-11 14:00:39",15692,0,NULL,NULL,518da9eb-8c5f-4af4-9e2d-c7e3142b33a5
44733,96995,15814,"2026-08-18 14:53:49",16222,0,NULL,NULL,4e7cb15b-1130-41ad-bd27-889bdf82d791
44728,98779,15873,"2026-08-18 14:10:40",16222,0,NULL,NULL,774596cd-2d87-42e3-877b-22175a7004dc
44727,98778,15873,"2026-08-18 14:09:56",16222,0,NULL,NULL,3a9e1ebd-1e85-421f-b186-c7357ea691fc
44678,99139,15668,"2026-08-17 19:30:18",16382,0,NULL,NULL,0364daa6-ba51-4c6e-9bb6-fed433f6f0f0
44679,99140,15668,"2026-08-17 19:30:39",16382,0,NULL,NULL,fcaa2538-06ba-40f3-bb09-b088164b0062
44639,99622,15709,"2026-08-17 16:44:11",16222,0,NULL,NULL,176b3bd7-9ef8-4c9b-92ef-d601b5c863fe
43932,98763,15704,"2026-08-10 19:20:57",16222,0,NULL,NULL,fe78d916-fd62-4b2b-b780-b71afbff1970
44760,99873,15481,"2026-08-18 16:51:43",15481,0,NULL,NULL,d023f9c6-37be-4b90-a52f-f131e792c661
43852,98660,15668,"2026-08-10 15:33:17",16222,0,NULL,NULL,36b544d0-165e-4602-aedb-1dfa09d7b46b
43911,98731,15704,"2026-08-10 18:46:39",16222,0,NULL,NULL,f86b31e7-1534-4d7c-af23-d6c8202eb7a2
44258,99162,15376,"2026-08-12 20:29:53",16222,0,NULL,NULL,83d22eac-4628-42b0-bdf7-dac0bec7fad0
44093,98974,15426,"2026-08-11 21:39:06",16222,0,NULL,NULL,da3d0fe0-68f2-46d1-b043-540dd6fe7619
44094,98977,15426,"2026-08-11 21:42:17",16222,0,NULL,NULL,9c0d4dad-3af7-43fe-8c58-aba5714c2672
44095,98979,15426,"2026-08-11 21:45:40",16222,0,NULL,NULL,0675f4de-9efd-4090-8909-81dd7500375c
44096,98980,15426,"2026-08-11 21:49:00",16222,0,NULL,NULL,1e3cca0d-4499-4964-a4bb-8d4c9f944a3c
44489,98955,15481,"2026-08-15 14:26:33",16222,0,NULL,NULL,3c27c0e3-4cd4-47cc-aa15-ee4d4a14f171
44729,99585,15873,"2026-08-18 14:11:16",16222,0,NULL,NULL,2fb5bbc2-5045-4200-962b-2ffb9be055dd
44689,99749,15376,"2026-08-17 23:04:30",16222,0,NULL,NULL,5ff372d6-f8b6-420e-a8a3-dcc1249e12cc
43919,98738,15704,"2026-08-10 18:51:45",16222,0,NULL,NULL,d10705ed-dda0-484d-ae98-cb21689cc08e
44426,99359,15692,"2026-08-14 14:20:14",15692,0,NULL,NULL,8eafd6fe-7162-400a-94f2-ccd5cf3f3e2c
44180,99073,15668,"2026-08-12 15:12:46",15668,0,NULL,NULL,afe89a79-44ed-4bbd-97dd-b942f9847cc1
