field,type,nullable,required,write_only,format,max_length,description,ownership,mapping_behavior,reference_object,default_value,observed_fill_pct,observed_distinct,observed_classification,status,notes
uuid,string,no,yes,no,uuid,,,confirm,unknown,,,,,,confirm,not established by supplied schema or observations
equipmentSpecificationId,integer,no,yes,no,,,,confirm,unknown,,,,,,confirm,not established by supplied schema or observations
companyEquipmentSpecificationId,integer,no,yes,no,,,,confirm,unknown,,,,,,confirm,not established by supplied schema or observations
specificationValue,string,no,yes,no,,,,confirm,unknown,,,,,,confirm,not established by supplied schema or observations
createdTimestampUtc,string,yes,no,no,,,,confirm,unknown,,,,,,confirm,not established by supplied schema or observations
isDeleted,boolean,yes,no,no,,,,confirm,unknown,,,,,,confirm,not established by supplied schema or observations
isActive,boolean,yes,no,no,,,,confirm,unknown,,,,,,confirm,not established by supplied schema or observations
createdByUserId,integer,yes,no,no,,,,confirm,unknown,,,,,,confirm,not established by supplied schema or observations
equipmentId,integer,no,yes,no,,,,confirm,unknown,,,,,,confirm,not established by supplied schema or observations
