equipmentGroupId,equipmentGroupShortName,equipmentGroupLongName,equipmentGroupDescription,companyId,equipmentClassId,isDeleted,createdTimestampUtc,createdByUserId,equipmentGroupColor,uuid
4285,"Compactor CS56 84" SD - 273","Compactor CS56 84" SD","Compactor CS56 84" SD",265,0,0,"2026-07-15 20:18:12",0,NULL,b9f24b1c-d28f-4933-924c-64e8e301b515
4286,"Exc. Breaker (80K Excavator) - 236","Exc. Breaker (80K Excavator)","Exc. Breaker (80K Excavator)",265,0,0,"2026-07-15 20:18:12",45,NULL,cd522294-63cd-4a45-b13a-2b1384d12806
4287,"Aerial Scissor Lift Elec - 32' - 335","Aerial Scissor Lift Elec - 32'","Aerial Scissor Lift Elec - 32'",265,0,0,"2026-07-15 20:18:12",45,NULL,fb744ab8-37f4-47d8-879f-8c036785b10e
4288,"Exc. Breaker (100K Excavator) - 237","Exc. Breaker (100K Excavator)","Exc. Breaker (100K Excavator)",265,0,0,"2026-07-15 20:18:12",45,NULL,ac0b3658-6ba0-4571-90d5-2d0699b29b18
4289,"Pile Hammer Diesel (D14-19) - 365","Pile Hammer Diesel (D14-19)","Pile Hammer Diesel (D14-19)",265,0,0,"2026-07-15 20:18:12",45,NULL,624df341-20c1-493d-85a3-33540b9d7ca8
4290,"Crane Crawler - 225 Ton - 140","Crane Crawler - 225 Ton","Crane Crawler - 225 Ton",265,0,0,"2026-07-15 20:18:13",45,NULL,cbdf9049-cf5e-4b3d-8ff2-eda0746cae21
4291,"Spider Hoists SC1000 - 893","Spider Hoists SC1000","Spider Hoists SC1000",265,0,0,"2026-07-15 20:18:13",45,NULL,7b2da268-33ec-4124-9990-820e12534ebb
4292,"Barge Section Shurgart (10x40) - 463","Barge Section Shurgart (10x40)","Barge Section Shurgart (10x40)",265,0,0,"2026-07-15 20:18:13",45,NULL,a7187f00-babb-4d48-9f79-313527d4c6fe
4293,"Compactor CS44 66" SD - 275","Compactor CS44 66" SD","Compactor CS44 66" SD",265,0,0,"2026-07-15 20:18:13",45,NULL,1bae4bb7-2435-4a44-9d15-6d965f824776
4294,"Boat Motor - 471","Boat Motor","Boat Motor",265,0,0,"2026-07-15 20:18:13",45,NULL,dd1b37e7-492f-4a47-9af1-b972da816cad
4295,"xFinish Machines Bidwell - 875","xFinish Machines Bidwell","xFinish Machines Bidwell",265,0,0,"2026-07-15 20:18:13",45,NULL,d5e1da32-a98b-45c6-bb36-5883f2e35632
4296,"Trailer - Office /Lab - 909","Trailer - Office /Lab","Trailer - Office /Lab",265,0,0,"2026-07-15 20:18:13",45,NULL,ce847262-f7ef-41ca-8576-2a0c7cb95b23
4297,"Railroad Crane - 937","Railroad Crane","Railroad Crane",265,0,0,"2026-07-15 20:18:13",45,NULL,7f377e21-1dd3-497e-8f44-de76442cdba7
4298,"Attach Skidsteer Brush Mower - 266","Attach Skidsteer Brush Mower","Attach Skidsteer Brush Mower",265,0,0,"2026-07-15 20:18:13",45,NULL,ed5f2df3-7c24-4d29-809d-b8d85d926614
4299,"xBedding Box 7' - 900","xBedding Box 7'","xBedding Box 7'",265,0,0,"2026-07-15 20:18:14",45,NULL,e797f630-adc0-4b59-ab06-43f0d70a92a4
4300,"Crane Crawler - 165 Ton - 137","Crane Crawler - 165 Ton","Crane Crawler - 165 Ton",265,0,0,"2026-07-15 20:18:14",45,NULL,6f809849-370f-40f3-a426-d4c8eeab581f
4301,"Pickup - 3/4 Ton (MY2024+) - 962","Pickup - 3/4 Ton (MY2024+)","Pickup - 3/4 Ton (MY2024+)",265,0,0,"2026-07-15 20:18:14",45,NULL,f405bd3b-590a-4eee-9979-b2a23497d8e3
4302,"Crane Tele-Boom Crawler-130T - 178","Crane Tele-Boom Crawler-130T","Crane Tele-Boom Crawler-130T",265,0,0,"2026-07-15 20:18:14",45,NULL,4e9ebff7-1d3e-48b8-b48d-1e3d3cad85a9
4303,"Boat Tug-1300 HP - 467","Boat Tug-1300 HP","Boat Tug-1300 HP",265,0,0,"2026-07-15 20:18:14",45,NULL,7f4f9058-7603-4fd4-adda-6751cc7d6ee2
4304,"Crane RT - 60 Ton - 165","Crane RT - 60 Ton","Crane RT - 60 Ton",265,0,0,"2026-07-15 20:18:14",45,NULL,077339e3-8086-4820-87d8-60ebb1e8492c
4305,"Water Truck (4000 GAL) - 926","Water Truck (4000 GAL)","Water Truck (4000 GAL)",265,0,0,"2026-07-15 20:18:14",45,NULL,5ecd63d4-58dd-4ece-951e-e961cc5a51b3
4306,"Aerial Boom Lift - 135' - 333","Aerial Boom Lift - 135'","Aerial Boom Lift - 135'",265,0,0,"2026-07-15 20:18:14",45,NULL,e6ab2507-469d-4f41-8a5e-b4432a02dd37
4307,"Vehicle - Executive/Facility - 975","Vehicle - Executive/Facility","Vehicle - Executive/Facility",265,0,0,"2026-07-15 20:18:14",45,NULL,21371d99-1de1-45f7-921c-397b33e73670
4308,"Crane Carry Deck - 15T - 180","Crane Carry Deck - 15T","Crane Carry Deck - 15T",265,0,0,"2026-07-15 20:18:14",45,NULL,263b48c7-8e14-4e36-bea3-de9e9c2b85c4
4309,"Crane Tele-Boom Crawler - 15T - 177","Crane Tele-Boom Crawler - 15T","Crane Tele-Boom Crawler - 15T",265,0,0,"2026-07-15 20:18:15",45,NULL,a67fe7ca-2439-492c-9937-fa7e5bc3b9cf
4310,"Railroad Pickup - 936","Railroad Pickup","Railroad Pickup",265,0,0,"2026-07-15 20:18:15",45,NULL,6476435a-f6b8-4d62-8e9b-d4ebb1827f08
4311,"Vibratory Hammer/Extr V5 - 350","Vibratory Hammer/Extr V5","Vibratory Hammer/Extr V5",265,0,0,"2026-07-15 20:18:15",45,NULL,cbee390e-7e92-4881-8b6a-5c33365592b1
4312,"Trailer - Equip 25Ton - 931","Trailer - Equip 25Ton","Trailer - Equip 25Ton",265,0,0,"2026-07-15 20:18:15",45,NULL,5b9af839-dc65-494b-af0d-e46533b11344
4313,"Compactor Reversible (Large) - 891","Compactor Reversible (Large)","Compactor Reversible (Large)",265,0,0,"2026-07-15 20:18:15",45,NULL,de44cf73-6367-4e38-8ccd-8e0d9bf46a56
