laborCodeId,jobId,createdTimestampUtc,laborCode,description,note,accountingCode,estimatingCode,isActive,jobRegularChargeRatePerHour,jobOvertimeChargeRatePerHour,jobDoubleTimeChargeRatePerHour,uuid
1273,NULL,NULL,001SP.XSP3,"Carpenter Special Rate",NULL,XSP3,NULL,1,NULL,NULL,NULL,f36b603d-1e09-44b4-8741-83eb9466cab2
1274,NULL,NULL,001/FM.FM9,"Carpenter Foreman Special Rate",NULL,FM9,NULL,1,NULL,NULL,NULL,1a6f5107-a2a2-4f1e-88a6-1da597e22c38
1275,NULL,NULL,001SP.XSP,"CARP WI",NULL,XSP,NULL,1,NULL,NULL,NULL,325e5ae9-4b7c-4d07-b6bb-3e5f8672d3de
1276,NULL,NULL,001/FM.XSP,"Carpenter Foreman",NULL,XSP,NULL,1,NULL,NULL,NULL,535f2a90-88fc-4026-83de-396a9fc72cf7
1277,NULL,NULL,001SP.XSP4,"Carpenter Salary",NULL,XSP4,NULL,1,NULL,NULL,NULL,d1915fd8-8581-4099-bff4-569722f4fa3d
1278,NULL,NULL,001/FM.SP7,"Carpenter FM Special",NULL,SP7,NULL,1,NULL,NULL,NULL,02552cb4-a108-4e24-acc3-598e4231bd6b
1279,NULL,NULL,001SP.XSP2,"Carpenter Special Rate",NULL,XSP2,NULL,1,NULL,NULL,NULL,5e5faf53-be11-4503-9bfb-56fd21d5514a
1280,NULL,NULL,001/FM.FM8,"Carpenter Special Rate",NULL,FM8,NULL,1,NULL,NULL,NULL,15cf887d-f3ae-4cc7-95f4-c1782204a075
1281,NULL,NULL,00190SW.ASP,"Carp Appr 90% Special Rate",NULL,ASP,NULL,1,NULL,NULL,NULL,d495b133-afe4-4cd4-83f5-b338465773cc
1282,NULL,NULL,001SP.XSP1,"Carpenter Salary",NULL,XSP1,NULL,1,NULL,NULL,NULL,e2aba7b2-72c2-4f4d-8e8f-02da188e4fde
1283,NULL,NULL,001SW.FM,"Carpenter Foreman",NULL,FM,NULL,1,NULL,NULL,NULL,c35ee389-ec38-408d-bb00-065b4cb828ac
1284,NULL,NULL,001SW.FM1,"Carpenter Foreman Special Rate",NULL,FM1,NULL,1,NULL,NULL,NULL,ea95f85d-b8ea-4696-8c51-b4020a6533c0
1285,NULL,NULL,001SW.FM10,"Carpenter Foreman Special Rate",NULL,FM10,NULL,1,NULL,NULL,NULL,d5084d53-b4a9-4a4f-8a53-4a23358c65fb
