field,type,nullable,required,write_only,format,max_length,description,ownership,mapping_behavior,reference_object,default_value,observed_fill_pct,observed_distinct,observed_classification,status,notes
uuid,string,no,yes,no,uuid,,,confirm,unknown,,,100.0%,1947,,confirm,not established by supplied schema or observations
statusChangeId,integer,no,yes,no,,,,confirm,unknown,,,100.0%,1947,,confirm,not established by supplied schema or observations
workOrderId,integer,no,yes,no,,,,confirm,unknown,,,100.0%,974,,confirm,not established by supplied schema or observations
workOrderStatus,integer,yes,no,no,,,,confirm,unknown,,,100.0%,4,,confirm,not established by supplied schema or observations
changeNote,string,yes,no,no,,,,confirm,unknown,,,0.0%,0,,confirm,not established by supplied schema or observations
createdByUserId,integer,yes,no,no,,,,confirm,unknown,,,100.0%,15,,confirm,not established by supplied schema or observations
createdTimestampUtc,string,yes,no,no,,,,confirm,unknown,,,100.0%,1944,,confirm,not established by supplied schema or observations
