field,type,nullable,required,write_only,format,max_length,description,ownership,mapping_behavior,reference_object,default_value,observed_fill_pct,observed_distinct,observed_classification,status,notes
uuid,string,no,yes,no,uuid,,,confirm,unknown,,,100.0%,104,,confirm,not established by supplied schema or observations
workOrderAssignmentId,integer,no,yes,no,,,,confirm,unknown,,,100.0%,104,,confirm,not established by supplied schema or observations
workOrderId,integer,no,yes,no,,,,confirm,unknown,,,100.0%,87,,confirm,not established by supplied schema or observations
assignedToUserId,integer,no,yes,no,,,,confirm,unknown,,,100.0%,20,,confirm,not established by supplied schema or observations
createdTimestampUtc,string,yes,no,no,,,,confirm,unknown,,,100.0%,92,,confirm,not established by supplied schema or observations
createdByUserId,integer,yes,no,no,,,,confirm,unknown,,,100.0%,17,,confirm,not established by supplied schema or observations
isDeleted,boolean,yes,no,no,,,,confirm,unknown,,,100.0%,2,,confirm,not established by supplied schema or observations
deletedByUserId,integer,yes,no,no,,,,confirm,unknown,,,100.0%,3,,confirm,not established by supplied schema or observations
deletedTimestampUtc,string,yes,no,no,,,,confirm,unknown,,,100.0%,10,,confirm,not established by supplied schema or observations
