equipmentCodeId,jobId,createdTimestampUtc,createdByUserId,equipmentCode,description,accountingCode,estimatingCode,jobOperatorLaborCodeId,isActive,jobChargeRatePerHour,uuid
2866,NULL,NULL,45,693200,"CAMERA/SECURITY TRAILER w/ Full 360 PTZ Camera (on RPO NCM)",8,NULL,NULL,1,NULL,4d454e03-7c9b-4307-abdd-b90eb667d649
2867,NULL,NULL,45,567700,"CAT259/255 TRACK SKIDSTEER (On RPO) Wagner",1O,NULL,NULL,1,NULL,09f332e6-85e7-4ba4-9597-b4ed8bfdd0c4
2868,NULL,NULL,45,567400,"CAT CP56B SHEEPSFOOT 84 inch ROLLER",1O,NULL,NULL,1,NULL,1f8fc6ee-a5bc-47a8-a57c-36bceaaf5892
2869,NULL,NULL,45,566600,"CAT 265 TRACK SKIDSTEER",1O,NULL,NULL,1,NULL,5737f242-64ac-42c4-8d20-f00f65f77317
2870,NULL,NULL,45,568300,"CAT 289/265 TRACK SKIDSTEER (On RPO) Fabick",1O,NULL,NULL,1,NULL,627dff1f-0768-4b80-bdb9-aa475859d0ca
2871,NULL,NULL,45,692900,"GENERATOR CAT XQ20 (on RPO) Fabick",8,NULL,NULL,1,NULL,b99f34a1-5421-44ed-b226-87bcfc886939
2872,NULL,NULL,45,692800,"GENERATOR CAT XQ20 (on RPO) Fabick",8,NULL,NULL,1,NULL,2796e3d5-ac47-4d14-a4e0-6f4704b2284a
2873,NULL,NULL,45,899700,"HI-RAIL BOOM TRUCK-STERLING LT9513 (SOLD)",1S,NULL,NULL,1,NULL,1145f839-3326-4ab0-a9e1-9a058ca29fd0
2874,NULL,NULL,45,693300,"CAMERA/SECURITY TRAILER w/ Full 360 PTZ Camera (on RPO NCM)",8,NULL,NULL,1,NULL,fda4252f-fe40-4489-a3a4-a81c0c84f88f
2875,NULL,NULL,45,899700,"HI-RAIL BOOM TRUCK-STERLING LT9513 (SOLD)",1O,NULL,NULL,1,NULL,ea590c53-e141-4175-aa96-022b2dabcfc7
2876,NULL,NULL,45,568100,"CAT259/255 TRACK SKIDSTEER (On RPO) Wagner",1O,NULL,NULL,1,NULL,2ac1277c-b319-42fc-a2f4-bbfef4e38afa
